"","CHEMICAL_NAME","STUDY_TITLE","ACCESSION_NUMBER","ORGANIZATION_NAME","STUDY_CONCLUSION","DEPOSITOR_STUDY_NUMBER","DOSE","DOSE_UNIT","START_DATE","TRIAL_RESULT","MICROSOMAL_ACTIVATION_USED","MICROSOMAL_ACTIVATION_SPECIES","PROTOCOL_TYPE","GROUP_NAME","IS_CONTROL_GROUP","STRAIN","TREATMENT_GROUP_TYPE","SUBJECT_NAME","TIME_IN_STUDY","TIME_IN_STUDY_UNIT","BKGRD","COUNT","COUNT_UNIT","COUNT_SEM","COUNT_MEAN","newCount","logDose","RESULT"
"86050","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",2000,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","4_5_2000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"eColi pKM101","Test Chemical","",2,"day",NA,NA,"",8.1,150,150,0.0792924716663919,"0"
"86052","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",3000,"ug/Plate",2015-05-21,"Negative","No Activation","N/A","Preincubation","10_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA100","Test Chemical","10_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_B",2,"day",NA,90,"count",NA,NA,90,0.0799604852043085,"0"
"86053","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",3000,"ug/Plate",2015-05-21,"Negative","No Activation","N/A","Preincubation","10_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA100","Test Chemical","10_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_C",2,"day",NA,93,"count",NA,NA,93,0.0797513858319299,"0"
"86055","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",3000,"ug/Plate",2015-05-21,"Negative","No Activation","N/A","Preincubation","11_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA98","Test Chemical","11_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_A",2,"day",NA,15,"count",NA,NA,15,0.0933321830063787,"0"
"86056","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",3000,"ug/Plate",2015-05-21,"Negative","No Activation","N/A","Preincubation","11_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA98","Test Chemical","11_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_B",2,"day",NA,22,"count",NA,NA,22,0.090111115846571,"0"
"86057","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",3000,"ug/Plate",2015-05-21,"Negative","No Activation","N/A","Preincubation","11_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA98","Test Chemical","11_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_C",2,"day",NA,24,"count",NA,NA,24,0.0894100789316631,"0"
"86059","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",3000,"ug/Plate",2015-05-21,"Negative","No Activation","N/A","Preincubation","12_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"eColi pKM101","Test Chemical","12_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_A",2,"day",NA,103,"count",NA,NA,103,0.079107061288513,"0"
"86060","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",3000,"ug/Plate",2015-05-21,"Negative","No Activation","N/A","Preincubation","12_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"eColi pKM101","Test Chemical","12_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_B",2,"day",NA,83,"count",NA,NA,83,0.0804815489511134,"0"
"86061","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",3000,"ug/Plate",2015-05-21,"Negative","No Activation","N/A","Preincubation","12_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"eColi pKM101","Test Chemical","12_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_C",2,"day",NA,114,"count",NA,NA,114,0.0784771292329076,"0"
"86064","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",3000,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","2_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA100","Test Chemical","2_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_B",2,"day",NA,86,"count",NA,NA,86,0.0802522175430564,"0"
"86120","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",3000,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","2_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA100","Test Chemical","",2,"day",NA,NA,"",7.1,95,95,0.0796162847979831,"0"
"86122","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",3000,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","3_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA98","Test Chemical","3_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_B",2,"day",NA,15,"count",NA,NA,15,0.0933321830063787,"0"
"86124","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",3000,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","3_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA98","Test Chemical","",2,"day",NA,NA,"",3,21,21,0.0904904491415383,"0"
"86125","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",3000,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","4_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"eColi pKM101","Test Chemical","4_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_A",2,"day",NA,166,"count",NA,NA,166,0.07622906781086,"0"
"86126","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",3000,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","4_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"eColi pKM101","Test Chemical","4_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_B",2,"day",NA,142,"count",NA,NA,142,0.0771474298072883,"0"
"86127","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",3000,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","4_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"eColi pKM101","Test Chemical","4_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_C",2,"day",NA,131,"count",NA,NA,131,0.0776303196446426,"0"
"86128","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",3000,"ug/Plate",2015-05-21,"Negative","10% RLI","Rat","Preincubation","4_6_3000.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"eColi pKM101","Test Chemical","",2,"day",NA,NA,"",10.3,146,146,0.0769824470335901,"0"
"86133","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",500,"ug/Plate",2015-05-21,"Negative","No Activation","N/A","Preincubation","11_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA98","Test Chemical","11_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_A",2,"day",NA,13,"count",NA,NA,13,0.113900957425803,"0"
"86134","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",500,"ug/Plate",2015-05-21,"Negative","No Activation","N/A","Preincubation","11_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA98","Test Chemical","11_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_B",2,"day",NA,14,"count",NA,NA,14,0.112947570486822,"0"
"86135","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",500,"ug/Plate",2015-05-21,"Negative","No Activation","N/A","Preincubation","11_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA98","Test Chemical","11_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol_C",2,"day",NA,18,"count",NA,NA,18,0.109830006851257,"0"
"86190","4-Methoxymethylcyclohexylmethanol","Genetic Toxicity Evaluation of 4-Methoxymethylcyclohexylmethanol in Salmonella/E.coli Mutagenicity Test or Ames Test. Study G14002","002-03278-0001-0000-3","NTP","Negative","G14002",500,"ug/Plate",2015-05-21,"Negative","No Activation","N/A","Preincubation","11_2_500.0_ug/Plate_4-Methoxymethylcyclohexylmethanol",NA,"TA98","Test Chemical","",2,"day",NA,NA,"",1.5,15,15,0.112074223446762,"0"
